Standardized_SMILES,CYP1A2,CYP2A6,CYP2B6,CYP2C19,CYP2C8,CYP2C9,CYP2D6,CYP2E1,CYP3A4
C/C=C(/C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)CCCCC)C3)c1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
C/C=C(/C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C/C=C(/C=O)[C@@H]1NC(C(=O)O)=C2[C@@H](OC)CCC[C@@H]21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C/C=C(/N)CCC(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,,0.0,0.0,,,,,,
C/C=C(C(=C/C)/c1ccc(OC(C)=O)cc1)\c1ccc(OC(C)=O)cc1,,0.0,0.0,,,,,0.0,
C/C=C(\C)C(=O)NCCN1C2=NC[C@H](C)N2C[C@@H]1Cc1ccc(OC)cc1,,0.0,0.0,,,,,0.0,
C/C=C(\C)C(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@H]([C@@H]3C(C)(C)[C@]13OC(=O)[C@@H](C)CC)[C@@H]1O[C@]1(CO)[C@@H](O)[C@]1(O)C(=O)C(C)=C[C@H]12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C/C=C(\C)CN1CCC(Oc2cc(C(=O)NC3CC3)ccc2OC)CC1,,0.0,0.0,,,,,0.0,
C/C=C(\C)CN1CCC(Oc2ccc(C(=O)NCc3ccccn3)cc2)CC1,,0.0,0.0,,,,,0.0,
C/C=C(\N)C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C/C=C(\N)C1=N[C@@H](C(=O)O)CS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C/C=C(\NC)C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C/C=C/C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C/C=C/C(C)=C/[C@@]1(C)SC(=O)C(C)=C1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C/C=C/C/C=C/CCC(=O)[C@H]1O[C@H]1C(N)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C/C=C/C=C(/NC(=O)c1ccccc1)C(=O)Nc1ccccc1,,0.0,0.0,,,,,0.0,
C/C=C/C=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
C/C=C/C[C@H](C(C)=O)n1cc([C@@](C)(NC(=O)c2ccccc2)C(C)C)nn1,,0.0,0.0,,,,,0.0,
C/C=C/c1ccc(OC)cc1,,,,,0.0,,,,
C/C=C1\[C@H]2C=C(C)C[C@]1(/N=C/c1cc(Cl)cc(OC)c1O)c1ccc(=O)[nH]c1C2,,0.0,,,,,,0.0,
C/C=C\C(=O)C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C/N=C(/NC)NCCC[C@H](N)C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
