smile1,smile2,cid1,cid2,morgan,maccs,rdkit,atompairs,torsion
COc1ccc(OC)c(C[NH+]2CCSCC2)c1,Cc1ccccc1-c1nn(CN(C)Cc2ccc(C(F)(F)F)cc2)c(=S)n1C,7047516,8227343,0.9504950495049505,0.6438356164383562,0.7980339588918677,0.8333333333333334,0.9230769230769231
CS(=O)(=O)c1ccccc1S(=O)(=O)N1CCC(C(=O)Nc2nnc(-c3cccs3)o2)CC1,CCCN(C(=O)C(C)NC(=O)OC(C)(C)C)C(C(=O)Nc1ccccc1C)c1cccc(C)c1C,16828355,18011595,0.9022556390977444,0.6043956043956045,0.6210392902408112,0.7582938388625593,0.9152542372881356
O=C(CSc1nnc(-c2ccc(F)cc2)n1-c1ccccc1)NCc1ccc(F)cc1,COc1ccc(C(=O)Nc2ccc(-c3ccncc3)cc2)cc1N1CCN(C)CC1,4796973,10250531,0.8813559322033898,0.5405405405405406,0.7137462235649548,0.7933333333333333,0.8867924528301887
Cc1ccc(C)c(N=Nc2c(C)[nH]n(C(N)=S)c2=O)c1,CCOc1ccc(C(=O)NNC(=O)C(C)Oc2ccc(C)c(C)c2)cc1Br,803769,17169465,0.883495145631068,0.5857142857142856,0.7905004240882103,0.8472222222222222,0.88
Cc1ccccc1CSCc1csc(CC(=O)Nc2ccccc2C)n1,Cc1ccc(C23CC4CC(Br)(CC(Br)(C4)C2)C3)cc1,2668406,5228689,0.9148936170212766,0.8823529411764706,0.8422198041349293,0.9014778325123153,0.9782608695652174
COC(=O)c1ccc(O)c(OCCCN2CCOCC2)c1,CC(C)(CCN(CCN)CCC(C)(C)[N+](=O)[O-])[N+](=O)[O-],11162231,17767331,0.9642857142857144,0.72,0.8794326241134752,0.9378531073446328,0.8909090909090909
CC(C)Cc1nnc(NC(=O)CCC(=O)N2CCN(c3cccc[nH+]3)CC2)s1,CC1CCC(C(C)C)C(OC(=O)N(C)C2CCCCC2N2CCCC2)C1,1624970,9998884,0.8934426229508197,0.5,0.7609302325581395,0.8677966101694915,0.979381443298969
CCCCNC(=O)C[NH+]1CCN(C(=O)COc2ccc(Cl)c(C)c2)CC1,CC(C)(C)OC(=O)NC(C)(C)c1ccc(-c2nc(Nc3ccc(-n4ccnc4)cc3)ncc2Cl)cc1,8371150,18183229,0.887218045112782,0.5679012345679013,0.796712802768166,0.8678304239401496,0.9716981132075472
CC(=O)Nc1ccc(NC(=O)C(=O)NC2CC2)cc1,Cc1ccc(OCCN(C)CC(=O)Nc2ccc(C)cc2C)cc1,2989915,18094881,0.8902439024390244,0.6140350877192983,0.6429840142095915,0.7760416666666666,0.8214285714285714
COc1ccc(C2CCOCC2)c2sc(NC(=O)N3CC4CCC3CC4)nc12,[Li][As]([Si](C)(C)C)[Si](C)(C)C,11384069,11831174,0.9493670886075948,0.9333333333333332,0.9703947368421052,1.0,1.0
